CID,SMILES
2261970,C1=CC(=CC(=C1)Br)N2C(=O)/C(=C/C3=CC=C(O3)C4=C(C=CC(=C4)[N+](=O)[O-])O)/C(=O)N2
9580814,C1=C(C=C(C=C1Cl)Cl)OC/C(=N/O)/N
9592266,C1COCCN1C2=NC(=NC(=N2)N/N=C/C3=CC(=CC=C3)[N+](=O)[O-])NCC4=CC=CC=C4
16191291,CC1=C(C(=NO1)C)C(=O)N2CCC(CC2)(CC3=CC=CC=C3)CO
2860951,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC(=C(C=C4)Cl)C(=O)OC)C
2354013,CC1=CC(=NN1C2=CC=C(C=C2)C(=O)NC3=NC4=CC=CC=C4S3)C
309734,C1=CC=C(C=C1)CCCCNC(=O)C2=CC=CC=C2
4638847,CC1=CC2=C(C(C(=C(O2)N)C(=O)OC)C3=CC=CC=C3OC)C(=O)N1
2883369,C1CCC(CC1)N2CC(CC2=O)C(=O)NC3=CC(=CC=C3)[N+](=O)[O-]
229014,CC1=CC(=NC2=NN=NN12)C
223259,CC1=C(C(=NC(=C1Br)N)C)Br
2583694,COC1=CC=C(C=C1)CC(=O)NC2=NC3=CC=CC=C3N2
646646,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5
2969896,CC(=O)NC1C2=C(C=CC(=C2)Br)N(C1=O)CC3=CC=CC=C3
54986,CC(=O)NC1=C(C=C(C=C1)C2=CC(=C(C=C2)NC(=O)C)OC)OC
2670238,CN1CCN(CC1)C2=C(C=C(C=C2)Cl)NC(=O)/C=C/C3=CC=C(C=C3)F
2143437,CC(=O)OC1=CC=CC(=C1)/C=C\2/C(=O)N3C(=NC(=N3)C4=CC=CO4)S2
2534587,CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)COC(=O)C3=CC=CNC3=O
659503,C1=C(C(=CC(=C1N)OCC(F)(F)F)OCC(F)(F)F)N
3352398,C1=CC=C(C=C1)C2=NN(C=C2C(=O)OCC(=O)NC3=C(C=C(C=N3)Cl)Cl)C4=CC=CC=C4
1143231,C1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)OCC3=C(C=C(C=C3)Cl)Cl
2813091,CC(C)(C)C1=CC=C(C=C1)NNC(=O)C2CCC2
11957290,CC(C)C(C(=O)NC1=NC2=C(S1)C=C(C=C2)Cl)NS(=O)(=O)C3=CC=CC4=NSN=C43
29499,CC1CCCCN1CC2=CNC3=CC=CC=C32
2731061,COC1=C(C=C(C=C1)CCNC2=NCCS2)OC
6409930,CN1CCN(CC1)C2=NC(=C(N=N2)C3=CC=CC=C3)C4=CC=CC=C4
1893984,CCOC(=O)C1=C(N=C2CC(OCC2=C1)(C)C)NC(=S)NCC=C
682310,C1=CC=C(C=C1)C(=O)CSC2=C(C=CC(=N2)C3=CN=CC=C3)C#N
1488323,C=CCN1C(=CC=C(C1=O)C#N)C2=CC=C(C=C2)Cl
9557785,CC(C)C1=CC=C(C=C1)/C=C(/C)\C=N\NC(=O)CN2C(=NN=N2)N
1582688,CC1=CC=C(C=C1)C2=C[N+](=O)C3=C(N2[O-])CCC3
1971353,CC(C)OC1=C(C=C(C=C1)CC2=NNC(=S)N2CC3=CC=CC=C3)Cl
5058764,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)NS(=O)(=O)C3=CC=CC=C3
1588118,CCCCCOC1=CC=C(C=C1)NP(=O)(C)OC2=C(C=C(C=C2)Cl)Cl
9550977,CN1C2=CC=CC=C2C3=C1C(=O)N(N=C3C(=O)NC4=CC(=C(C=C4)OC)OC)C5=CC=C(C=C5)OC
1048590,CC1=C(C2=C(C=C1)NC(=C2N=NC(=O)CCC3=CC=CC=C3)O)Br
9660671,CC(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=C(N(N=N2)C3=NON=C3N)CSC4=NCCS4
4878352,CC(C)(C)C1=CC=C(C=C1)NC(=O)COC2=CC=C(C=C2)N3C=CN=C3
2209610,CC1=CC=C(C=C1)SCC(=O)NC2=CC=CC=C2C(=O)NCCOC
7199935,CC1=CC(=C(C=C1)N2C3=C(C=N2)C(=NC=N3)SC)C
2050022,C1=CC(=CC=C1OCCC2=CSC(=N2)N)F
2921793,CC(C)(C)C1=CC=C(C=C1)CNC2=NC=C(C=C2)[N+](=O)[O-]
9551291,C1CN(CCN(C1)S(=O)(=O)C2=CC=C(S2)Br)CC(=O)NC3=CC=C(C=C3)Cl
2526043,C1CN(CCC1C(=O)N)C(=O)/C=C/C2=CC=CC=C2[N+](=O)[O-]
135491058,C1=CC=C2C(=C1)C=CC(=N2)/C=N/O
3220324,CC(C)(C)NC(=O)C(C1=CC=CC=C1)OC(=O)C2=CC=CS2
2187441,C/C(=C\C1=CC=CC=C1)/C(=O)N2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F
4320927,CCCCNC(=S)N1CCN2C=CC=C2C1C3=CC=C(C=C3)F
309599,CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)O
5314946,C1=CC=C(C(=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[N+](=O)[O-])Cl
2811977,COC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)CC#N
1090993,CCOC(=O)C1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)C)C
1277287,C1=CC(=CN=C1)/C=C/2\C(=O)N(C(=S)S2)NC(=O)C3=CC=CO3
2189547,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C/C(=O)C3=CC(=C(C=C3)Cl)Cl)C
2475821,CC1=CC(=CC=C1)OCCSC2=NC(=CC(=N2)N)N
2472289,CC1=CC(=CC=C1)OCCCC(=O)NC2=NC3=CC=CC=C3N2
888323,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC2=NC=NN2
1135734,CC1=CC2=C(C=CC(=C2)OC)N3C1=NN=C3SCC(=O)N(C)C4=NC(=CS4)C5=CC=CC=C5
1289826,CCOC(=O)CSC1=C(C2=C(C=CC(=C2)Cl)NC1=O)C3=CC=CC=C3
135421779,CC1(CC(=C(C(=O)C1)N=NC2=C(C=CC(=C2)C(F)(F)F)Cl)O)C
5823343,C1=CC=C(C(=C1)C(=O)O/N=C(\C2=NC=C(S2)[N+](=O)[O-])/N)Cl
666534,CC(C)OCCCN1C(C2=C(C1=O)NN=C2C3=CC=CC=C3O)C4=CC(=CC=C4)Cl
2740017,CC1=NC(=NO1)C2=CC=C(S2)C3=NOC=C3
2574382,CC1=CC(=CC=C1)NC(=O)CN2CCSC3=CC=CC=C32
1862276,CC(C)(C)C1=CC(=NN1)C2=NNC(=S)N2C3=CC=C(C=C3)Cl
1257866,C1OC2=C(O1)C=C(C=C2)OCCN3C=C(C4=CC=CC=C43)C=C5C(=O)NC(=O)NC5=O
708645,CC1=CC(=C(C=C1)C(C)C)OCC(=O)NNC2=CC(=O)CC(C2)(C)C
2422717,CC(C)NC(=S)NNC1=NC2=CC=CC=C2S1
1488829,C1=CC2=C(C(=C1)OCC3=CN=C(S3)Cl)N=CC=C2
2442668,C1=CC=C(C=C1)CN(CCO)C(=S)NC2=CC=C(C=C2)F
3620389,CCC1=CC=C(C=C1)C2=NC(=C(O2)C)CSCC(=O)N3CCN(CC3)C4=NC=CC=N4
16189381,CCN(C1=CC=CC=C1C)C(=O)C2=CC3=C(S2)C4=C(C=CC(=C4)C)NC3=O
54687296,CC(C)N1C2=CC=CC=C2C(=C(C1=O)C(=O)C)O
3681427,CCC1=CC(=CC=C1)NC(=S)N(CCOC)C(C)C2=CC=CO2
2731145,CC1=CC(=CC=C1)NC2=NCCCS2
1320816,CC(C)NC(=O)C1=CC=CC=C1NC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-]
2543155,C1=CC=C2C(=C1)C(=NC=N2)NNC(=O)C3=CC(=CC=C3)Cl
3519901,CC(=CCC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=C(C=C3)O)O)C
2741559,CC(C)(C)C(=O)N1CCN(CC1)C2=C(C=CC=N2)C(F)(F)F
654536,CC(C)C1=NC(=C2C(=N1)N(N=N2)CC3=CC=CC=C3F)NCC#C
2195327,CC1=CC=CC=C1OCCNS(=O)(=O)C2=CC=C(C=C2)SC
135558932,CCN(CC)C1=CC(=C(C=C1)/C=N/NC(=O)C2=CC3=C(C=C2)N=CN3)O
1245716,CCC1=NOC(=C1C(=O)N2CCN(CC2)C3=CC(=C(C=C3)Cl)Cl)C
16187986,CCCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=S)N2CCCN3CCN(CC3)CC4=CC=CC=C4)CC
1352451,C1=CC(=CC(=C1)C(F)(F)F)/C=C/C(=O)NC2=CC=CC(=C2)C(F)(F)F
688670,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)OC
972437,CC(=O)C1=CC=C(C=C1)NC(=S)NCCC2=CC=C(C=C2)F
1488207,C1=CC(=CC(=C1)SCC(=O)NC2=C(C=C(C=C2)Cl)Cl)C(F)(F)F
121637,COC1=CC=C(C=C1)C2=CC(=O)C=CC2=O
2940291,C1C2CC3CC1CC(C2)(C3)NC(=O)CSC4=NN=C(N4CC5=CC=CO5)CC6=CC=CC=C6
3330064,C1C2C=CC1C3C2C(=O)N(C3=O)NC(=O)COC4=C(C=C(C=C4)Cl)Cl
6867648,C1=CC=C2C(=C1)C=C(O2)C(=O)N/N=C/C3=CC=C(O3)[N+](=O)[O-]
705847,CC1=CC=CC=C1OCC2=NC(=NO2)C3=CC=CC=C3
4968891,C1CC2CC1CC2NC(=S)N3CCN(CC3)C(=O)C4=CC=CO4
16189454,C1=CC2=C(C=C1CN)NC(=O)N2.Cl
